"IdOffer","title","name","location","level","req","contract","link"
"9538","Global Reporting Analyst","Webhelp Maroc","Rabat","Bac +5 et plus","sql , power bi , sql server","CDI","/offre-emploi-global-reporting-analyst-recrutement-webhelp-maroc-rabat-132214.html"
"9539","DevOps Engineer (H/F)","SQLI Maroc","Rabat",,"python , aws , groovy , azure , kubernetes , agile","CDI","/offre-emploi-devops-engineer-hf-recrutement-sqli-maroc-rabat-132198.html"
"9537","LEADER TECHNIQUE JAVA/KOTLIN (Remote)","Neosys","Casablanca","Bac +5 et plus","js , react","CDI","/offre-emploi-leader-technique-javakotlin-remote-recrutement-neosys-casablanca-132215.html"
"9536","Ingénieur Devops Senior","Altados","Casablanca","Bac +5 et plus","jenkins , linux","Freelance","/offre-emploi-ingenieur-devops-senior-recrutement-altados-casablanca-132222.html"
"9535","Consultant RPA Sénior (H/F)","Atos","Casablanca","Bac +5 et plus - Master","python , scrum , agile","CDI","/offre-emploi-consultant-rpa-senior-hf-recrutement-atos-casablanca-132240.html"
"9534","Ingénieur Développement","Manpower Agences","RABAT","Bac +5 et plus - Master","java , oracle , j2ee , uml , linux","CDI","/offre-emploi-ingenieur-developpement-recrutement-manpower-agences-rabat-132242.html"
"9533","Ingénieur Systèmes Windows Expert en Active Directory","Altados","Casablanca","Bac +5 et plus","linux","Freelance","/offre-emploi-ingenieur-systemes-windows-expert-en-active-directory-recrutement-altados-casablanca-132248.html"
"9532","Développeur PHP Full Stack Sénior","ALTEN Maroc","Rabat",,"sql , angular , html5 , css3 , javascript , jquery , php , symfony , agile","CDI","/offre-emploi-developpeur-php-full-stack-senior-recrutement-alten-maroc-rabat-131488.html"
"9527","Expert pilote technique","ALTEN Maroc","Fès",,"sql , java , sap , jira , unix , linux , catia","CDI","/offre-emploi-expert-pilote-technique-recrutement-alten-maroc-fes-132279.html"
"9528","Support N3 Fonctionnel","ALTEN Maroc","Fès",,"sql , java , sap , jira , unix , linux , catia","CDI","/offre-emploi-support-n3-fonctionnel-recrutement-alten-maroc-fes-132278.html"
"9529","Support N3 technique","ALTEN Maroc","Fès",,"sql , java , sap , jira , unix , linux , catia","CDI","/offre-emploi-support-n3-technique-recrutement-alten-maroc-fes-132277.html"
"9526","Senior Data Engineer spécialise Google Cloud GCP/DevOps/Big Data (Casablanca)","Preci","casablanca","Bac +5 et plus","java , kafka , aws , azure , hadoop , spark","CDI","/offre-emploi-senior-data-engineer-specialise-google-cloud-gcpdevopsbig-data-casablanca-recrutement-preci-casablanca-130568.html"
"9520","Consultant SAP SD/MM","Atos","Casablanca","Bac +5 et plus","sap","CDI","/offre-emploi-consultant-sap-sdmm-recrutement-atos-casablanca-131233.html"
"9521","Consultant SAP ABAP Senior (H/F)","Atos","Casablanca","Bac +4","sap","CDI","/offre-emploi-consultant-sap-abap-senior-hf-recrutement-atos-casablanca-131942.html"
"9522","Testeur Fonctionnel (H/F)","Atos","Casablanca","Bac +4","mysql , jira , agile","CDI","/offre-emploi-testeur-fonctionnel-hf-recrutement-atos-casablanca-131232.html"
"9523","Concepteur Développeur java/Angular","Sofrecom Services Maroc","Sala al jadida (Technopolis)","Bac +5 et plus","java , angular , javascript , spring , jpa , agile","CDI","/offre-emploi-concepteur-developpeur-javaangular-recrutement-sofrecom-services-maroc-sala-al-jadida-technopolis-132318.html"
"9524","Suport PLM Senior","ALTEN Maroc","GP Owner",,"catia","CDI","/offre-emploi-suport-plm-senior---gp-owner-recrutement-alten-maroc-fes-132290.html"
"9515","Ingénieur Support Applicatif N3 (Unix/Sql)","Sofrecom Services Maroc","Casablanca","Bac +5 et plus","sql , plsql , linux","CDI","/offre-emploi-ingenieur-support-applicatif-n3-unixsql-recrutement-sofrecom-services-maroc-casablanca-132358.html"
"9516","EXPERT Java/JEE (H/F)","Umanis","Casablanca","Bac +5 et plus","sql , hibernate , mysql , maven , spring , spring security , tomcat , sql server","CDI","/offre-emploi-expert-javajee-hf-recrutement-umanis-casablanca-130567.html"
"9517","Gestionnaire de données CRM Senior | CDI","Deloitte Nearshore","casablanca","Bac +2","oracle , sap","CDI","/offre-emploi-gestionnaire-de-donnees-crm-senior-cdi-recrutement-deloitte-nearshore-casablanca-132316.html"
"9518","Testeur Informatique Anglophone à Rabat","AXA Rabat (Axa Services)","Salé Technopolis","Bac +4 - Ecole d'ingénieur","agile","CDI","/offre-emploi-testeur-informatique-anglophone-a-rabat-recrutement-axa-rabat-axa-services-sale-technopolis-132302.html"
"9525","Manager Data Science","Preci","CASABLANCA","Bac +5 et plus","python , r , spark","CDI","/offre-emploi-manager-data-science-recrutement-preci-casablanca-130569.html"
"9513","Ingénieur Fonctionnel","Sitel Group","Casablanca",,"sql , oracle , sql server","CDI","/offre-emploi-ingenieur-fonctionnel---casablanca-recrutement-sitel-group-casablanca-132339.html"
"9514","Tech Lead Fullstack JAVA","Deloitte Nearshore","AEM (H/F)","Bac +5 et plus - Master","java , angular , html , css , html5 , css3 , javascript , vuejs","CDI","/offre-emploi-tech-lead-fullstack-java---aem-hf-recrutement-deloitte-nearshore-casablanca-132333.html"
"9510","Consultant ITSM","TNC The Next Clic","Jira (H/F)","Bac +4","css , javascript , jira , agile , jelly","CDI","/offre-emploi-consultant-itsm---jira-hf-recrutement-tnc-the-next-clic-casablanca-132350.html"
